"Step","tpt - loss","tpt - loss__MIN","tpt - loss__MAX","fl - loss","fl - loss__MIN","fl - loss__MAX","vn - loss","vn - loss__MIN","vn - loss__MAX"
"100","9.733708381652832","9.733708381652832","9.733708381652832","7.0460333824157715","7.0460333824157715","7.0460333824157715","9.678394317626953","9.678394317626953","9.678394317626953"
"200","8.591842651367188","8.591842651367188","8.591842651367188","6.871879577636719","6.871879577636719","6.871879577636719","9.569371223449707","9.569371223449707","9.569371223449707"
"300","8.428857803344727","8.428857803344727","8.428857803344727","6.481595039367676","6.481595039367676","6.481595039367676","8.939207077026367","8.939207077026367","8.939207077026367"
"400","7.167297840118408","7.167297840118408","7.167297840118408","6.508391857147217","6.508391857147217","6.508391857147217","8.814181327819824","8.814181327819824","8.814181327819824"
"500","6.96721076965332","6.96721076965332","6.96721076965332","6.791504859924316","6.791504859924316","6.791504859924316","8.688409805297852","8.688409805297852","8.688409805297852"
"600","6.685654163360596","6.685654163360596","6.685654163360596","6.25758171081543","6.25758171081543","6.25758171081543","8.758901596069336","8.758901596069336","8.758901596069336"
"700","6.572411060333252","6.572411060333252","6.572411060333252","6.477484226226807","6.477484226226807","6.477484226226807","7.346933364868164","7.346933364868164","7.346933364868164"
"800","6.897254467010498","6.897254467010498","6.897254467010498","6.006532669067383","6.006532669067383","6.006532669067383","7.394232749938965","7.394232749938965","7.394232749938965"
"900","6.527472496032715","6.527472496032715","6.527472496032715","5.9269514083862305","5.9269514083862305","5.9269514083862305","7.208766937255859","7.208766937255859","7.208766937255859"
"1000","6.062948226928711","6.062948226928711","6.062948226928711","5.912806510925293","5.912806510925293","5.912806510925293","6.624493598937988","6.624493598937988","6.624493598937988"
"1100","6.109416961669922","6.109416961669922","6.109416961669922","5.996315002441406","5.996315002441406","5.996315002441406","6.529472351074219","6.529472351074219","6.529472351074219"
"1200","6.208883285522461","6.208883285522461","6.208883285522461","5.928634166717529","5.928634166717529","5.928634166717529","6.446599006652832","6.446599006652832","6.446599006652832"
"1300","5.793056488037109","5.793056488037109","5.793056488037109","5.886514663696289","5.886514663696289","5.886514663696289","6.2380757331848145","6.2380757331848145","6.2380757331848145"
