"Step","fl - loss","fl - loss__MIN","fl - loss__MAX","vn - loss","vn - loss__MIN","vn - loss__MAX"
"100","8.724557876586914","8.724557876586914","8.724557876586914","7.355071067810059","7.355071067810059","7.355071067810059"
"200","7.418812274932861","7.418812274932861","7.418812274932861","7.6352081298828125","7.6352081298828125","7.6352081298828125"
"300","7.125064373016357","7.125064373016357","7.125064373016357","6.9536004066467285","6.9536004066467285","6.9536004066467285"
"400","7.223197937011719","7.223197937011719","7.223197937011719","6.789524555206299","6.789524555206299","6.789524555206299"
"500","7.3386921882629395","7.3386921882629395","7.3386921882629395","6.616917133331299","6.616917133331299","6.616917133331299"
"600","7.032632827758789","7.032632827758789","7.032632827758789","6.4879889488220215","6.4879889488220215","6.4879889488220215"
"700","7.1698455810546875","7.1698455810546875","7.1698455810546875","6.505666732788086","6.505666732788086","6.505666732788086"
"800","7.119733810424805","7.119733810424805","7.119733810424805","6.149859428405762","6.149859428405762","6.149859428405762"
"900","7.046718597412109","7.046718597412109","7.046718597412109","6.170507431030273","6.170507431030273","6.170507431030273"
"1000","6.4477081298828125","6.4477081298828125","6.4477081298828125","5.989301681518555","5.989301681518555","5.989301681518555"
"1100","6.8476948738098145","6.8476948738098145","6.8476948738098145","6.104651927947998","6.104651927947998","6.104651927947998"
"1200","6.760799407958984","6.760799407958984","6.760799407958984","6.272511959075928","6.272511959075928","6.272511959075928"
"1300","6.324423313140869","6.324423313140869","6.324423313140869","5.972085952758789","5.972085952758789","5.972085952758789"
"1400","5.891793727874756","5.891793727874756","5.891793727874756","5.970634460449219","5.970634460449219","5.970634460449219"
"1500","5.914487838745117","5.914487838745117","5.914487838745117","5.885328769683838","5.885328769683838","5.885328769683838"
"1600","5.874134063720703","5.874134063720703","5.874134063720703","5.795619964599609","5.795619964599609","5.795619964599609"
"1700","5.962867736816406","5.962867736816406","5.962867736816406","5.560092449188232","5.560092449188232","5.560092449188232"
"1800","5.296379566192627","5.296379566192627","5.296379566192627","5.752124309539795","5.752124309539795","5.752124309539795"
"1900","5.671513080596924","5.671513080596924","5.671513080596924","5.746392250061035","5.746392250061035","5.746392250061035"
"2000","5.584930896759033","5.584930896759033","5.584930896759033","5.627898693084717","5.627898693084717","5.627898693084717"
"2100","5.45846700668335","5.45846700668335","5.45846700668335","5.780702590942383","5.780702590942383","5.780702590942383"
"2200","5.585498809814453","5.585498809814453","5.585498809814453","5.782671928405762","5.782671928405762","5.782671928405762"
"2300","5.3479413986206055","5.3479413986206055","5.3479413986206055","5.540385723114014","5.540385723114014","5.540385723114014"
"2400","5.3069658279418945","5.3069658279418945","5.3069658279418945","5.391643524169922","5.391643524169922","5.391643524169922"
"2500","5.321610450744629","5.321610450744629","5.321610450744629","5.653722763061523","5.653722763061523","5.653722763061523"
"2600","5.376861572265625","5.376861572265625","5.376861572265625","5.649880886077881","5.649880886077881","5.649880886077881"
"2700","5.224815368652344","5.224815368652344","5.224815368652344","5.652670383453369","5.652670383453369","5.652670383453369"
"2800","5.278404235839844","5.278404235839844","5.278404235839844","5.562188148498535","5.562188148498535","5.562188148498535"
"2900","5.329203128814697","5.329203128814697","5.329203128814697","5.455936908721924","5.455936908721924","5.455936908721924"
"3000","5.341796875","5.341796875","5.341796875","5.572052001953125","5.572052001953125","5.572052001953125"
"3100","5.326043605804443","5.326043605804443","5.326043605804443","5.687372207641602","5.687372207641602","5.687372207641602"
"3200","5.352598667144775","5.352598667144775","5.352598667144775","5.537459373474121","5.537459373474121","5.537459373474121"
"3300","5.0746541023254395","5.0746541023254395","5.0746541023254395","5.398944854736328","5.398944854736328","5.398944854736328"
"3400","5.119103908538818","5.119103908538818","5.119103908538818","5.2300124168396","5.2300124168396","5.2300124168396"
"3500","5.3210906982421875","5.3210906982421875","5.3210906982421875","5.362910270690918","5.362910270690918","5.362910270690918"
"3600","5.158193111419678","5.158193111419678","5.158193111419678","5.380735874176025","5.380735874176025","5.380735874176025"
"3700","5.095219135284424","5.095219135284424","5.095219135284424","5.40877628326416","5.40877628326416","5.40877628326416"
"3800","5.109485626220703","5.109485626220703","5.109485626220703","5.147068500518799","5.147068500518799","5.147068500518799"
"3900","5.249056816101074","5.249056816101074","5.249056816101074","5.334637641906738","5.334637641906738","5.334637641906738"
"4000","5.208113193511963","5.208113193511963","5.208113193511963","5.365335941314697","5.365335941314697","5.365335941314697"
"4100","5.101257801055908","5.101257801055908","5.101257801055908","5.206622123718262","5.206622123718262","5.206622123718262"
"4200","4.9337592124938965","4.9337592124938965","4.9337592124938965","5.317337989807129","5.317337989807129","5.317337989807129"
