"Step","tpt - loss","tpt - loss__MIN","tpt - loss__MAX"
"100","9.100444793701172","9.100444793701172","9.100444793701172"
"200","8.234013557434082","8.234013557434082","8.234013557434082"
"300","7.301971912384033","7.301971912384033","7.301971912384033"
"400","7.933414459228516","7.933414459228516","7.933414459228516"
"500","8.204498291015625","8.204498291015625","8.204498291015625"
"600","7.131638050079346","7.131638050079346","7.131638050079346"
"700","6.74337911605835","6.74337911605835","6.74337911605835"
"800","6.555356025695801","6.555356025695801","6.555356025695801"
"900","6.4888458251953125","6.4888458251953125","6.4888458251953125"
"1000","6.069382667541504","6.069382667541504","6.069382667541504"
"1100","6.200267314910889","6.200267314910889","6.200267314910889"
"1200","6.078648090362549","6.078648090362549","6.078648090362549"
"1300","6.261879920959473","6.261879920959473","6.261879920959473"
"1400","5.97538948059082","5.97538948059082","5.97538948059082"
"1500","5.785732269287109","5.785732269287109","5.785732269287109"
"1600","5.870375156402588","5.870375156402588","5.870375156402588"
"1700","6.010192394256592","6.010192394256592","6.010192394256592"
"1800","5.595561981201172","5.595561981201172","5.595561981201172"
"1900","5.637156963348389","5.637156963348389","5.637156963348389"
"2000","5.88422155380249","5.88422155380249","5.88422155380249"
"2100","5.687838077545166","5.687838077545166","5.687838077545166"
"2200","5.696334362030029","5.696334362030029","5.696334362030029"
"2300","5.400022506713867","5.400022506713867","5.400022506713867"
"2400","5.674581050872803","5.674581050872803","5.674581050872803"
"2500","5.539266109466553","5.539266109466553","5.539266109466553"
"2600","5.4341959953308105","5.4341959953308105","5.4341959953308105"
"2700","5.184786796569824","5.184786796569824","5.184786796569824"
"2800","5.395489692687988","5.395489692687988","5.395489692687988"
"2900","5.676609039306641","5.676609039306641","5.676609039306641"
"3000","5.3582682609558105","5.3582682609558105","5.3582682609558105"
"3100","5.487257957458496","5.487257957458496","5.487257957458496"
"3200","5.362466812133789","5.362466812133789","5.362466812133789"
"3300","5.1437788009643555","5.1437788009643555","5.1437788009643555"
"3400","5.120389461517334","5.120389461517334","5.120389461517334"
"3500","5.142374038696289","5.142374038696289","5.142374038696289"
"3600","5.085353851318359","5.085353851318359","5.085353851318359"
"3700","5.313290119171143","5.313290119171143","5.313290119171143"
"3800","5.113651275634766","5.113651275634766","5.113651275634766"
"3900","5.068753719329834","5.068753719329834","5.068753719329834"
"4000","4.97993278503418","4.97993278503418","4.97993278503418"
"4100","5.061651229858398","5.061651229858398","5.061651229858398"
