resynth_path,model,category,method,grouping,pair,instrument,alpha,distance
../data/URMP/Dataset/rearranged/test_fl_vn,,,,,,,,3.1670126597878320834
./results_reordered/finetuned_from_30k_for_30k/resynthesis/fl_vn,finetuned_from_30k_for_30k,resynthesis,,,,fl_vn,,7.657419118178736765
./results_reordered/finetuned_from_30k_for_30k/weights/extremes/fl_vn,finetuned_from_30k_for_30k,weights,weights,extremes,,fl_vn,,7.396064304941919909
./results_reordered/finetuned_from_30k_for_30k/weights/unordered_pairs/fl_vn/intermediate_alphas,finetuned_from_30k_for_30k,weights,weights,unordered_pairs,fl_vn,,intermediate_alphas,8.8249096006763647505
./results_reordered/finetuned_from_30k_for_30k/output/extremes/fl_vn,finetuned_from_30k_for_30k,output,output,extremes,,fl_vn,,7.408475666475969128
./results_reordered/finetuned_from_30k_for_30k/output/unordered_pairs/fl_vn/intermediate_alphas,finetuned_from_30k_for_30k,output,output,unordered_pairs,fl_vn,,intermediate_alphas,9.28106614654809523
